blur_score,contrast_score,noise_score,edge_density,dark_ratio,mean_brightness,line_count,hist_entropy,filename,category
1812.4316,44.7289,6.6576,0.1431,0.0052,178.8306,7708.0,4.9381,0 (1).jpg,manga
1097.7301,89.3298,6.0994,0.1159,0.1682,198.0025,4911.0,4.4387,0 (2).jpg,manga
14825.681,79.5348,17.0178,0.1708,0.1292,209.1676,11709.0,4.9495,0 (3).jpg,manga
12977.5738,73.9039,14.9583,0.138,0.101,219.8703,7483.0,4.2356,0 (4).jpg,manga
1003.9591,49.1151,5.2142,0.1321,0.0136,226.7249,6674.0,4.0573,0.jpg,manga
16760.7806,85.2911,17.1194,0.1627,0.1343,204.4849,10555.0,4.0411,15.jpeg,manga
19667.3374,64.5869,14.8904,0.1491,0.0663,225.2192,7967.0,3.7826,2.jpg,manga
27470.7089,100.1512,23.1452,0.187,0.3026,169.9807,12284.0,5.2108,5.jpg,manga
2013.7791,51.6321,9.2289,0.2245,0.0721,159.931,13661.0,7.3238,Screenshot_1.png,manga
9539.3158,75.5411,17.4854,0.2398,0.133,185.194,14726.0,6.3551,Screenshot_10.png,manga
4730.0476,91.26,12.0571,0.1674,0.2499,166.6551,11040.0,6.4179,Screenshot_12.png,manga
7438.102,71.7869,17.0639,0.256,0.185,162.1603,15142.0,7.5822,Screenshot_2.png,manga
3145.5759,59.8285,10.9124,0.1985,0.1531,152.0894,12464.0,7.757,Screenshot_23.png,manga
8540.8916,64.3762,15.8073,0.1742,0.1032,195.7723,10513.0,6.6325,Screenshot_3.png,manga
2354.3397,64.5754,8.229,0.1709,0.0867,184.6083,11442.0,6.8808,Screenshot_4.png,manga
2016.0432,52.0372,5.0814,0.097,0.4345,80.8767,2431.0,6.943,Screenshot_5.png,manga
3400.3808,77.3635,7.1992,0.1022,0.1275,178.4511,2732.0,6.1969,Screenshot_6.png,manga
4421.782,71.6727,6.6806,0.0545,0.1144,203.3335,504.0,5.1671,Screenshot_7.png,manga
3507.7786,105.2745,8.0482,0.1066,0.2499,180.1229,3848.0,4.148,Screenshot_8.png,manga
30.4897,6.6715,0.8813,0.0001,0.0,128.5695,0.0,4.6112,handwritten_1.jpg,handwritten
143.2673,16.3611,1.7171,0.0699,0.0183,139.4904,915.0,3.252,image (1).jpg,handwritten
7066.2458,51.4176,12.6156,0.1132,0.0495,227.796,4079.0,4.8439,image (10).jpg,handwritten
2045.0932,48.4284,7.2527,0.0756,0.0333,233.3518,1099.0,4.6913,image (11).jpg,handwritten
155.0537,11.2754,1.5498,0.0601,0.0,251.6997,534.0,1.6014,image (2).jpg,handwritten
471.2019,18.3666,2.9711,0.0845,0.0,248.5275,1183.0,1.9249,image (3).jpg,handwritten
4440.8904,41.5813,10.9173,0.1234,0.0164,225.751,5802.0,5.4983,image (4).jpg,handwritten
2955.6908,49.9015,10.1502,0.1102,0.0293,220.6653,3886.0,5.8727,image (5).jpg,handwritten
2429.1326,43.2423,8.6757,0.1207,0.0066,229.1998,5145.0,4.67,image (6).jpg,handwritten
1702.3759,40.0775,5.366,0.064,0.0152,237.1198,549.0,3.2026,image (7).jpg,handwritten
2370.2842,46.2736,6.6118,0.0743,0.037,234.525,955.0,3.094,image (8).jpg,handwritten
3448.0353,51.1859,7.6079,0.0667,0.0556,233.0455,766.0,3.5336,image (9).jpg,handwritten
215.3557,22.3911,1.664,0.0438,0.0008,249.0187,195.0,1.5051,image.jpg,handwritten
96.9582,47.2614,1.299,0.0145,0.0608,209.1111,2.0,5.0687,Screenshot_1.png,handwritten
857.4501,76.0031,4.0144,0.0367,0.1066,224.695,44.0,2.2175,Screenshot_2.png,handwritten
171.853,59.059,2.1095,0.0568,0.101,179.8892,385.0,6.0894,Screenshot_3.png,handwritten
93.0002,57.2592,1.8816,0.0953,0.0932,148.0542,1740.0,6.9621,test_image.jpg,handwritten
271.0424,62.6903,3.3961,0.105,0.1446,166.9079,3315.0,6.384,Screenshot_1.png,stylized
662.705,50.2382,4.7587,0.0881,0.639,81.7955,1392.0,5.8747,Screenshot_10.png,stylized
72.7948,62.0747,1.1905,0.0269,0.1342,188.1096,22.0,5.0299,Screenshot_11.png,stylized
314.3019,49.7903,2.536,0.0441,0.0296,237.0711,73.0,3.0915,Screenshot_12.png,stylized
459.2611,75.8575,3.6416,0.066,0.1982,167.481,284.0,6.7981,Screenshot_13.png,stylized
1374.0886,71.2578,5.3117,0.0553,0.0808,217.4259,200.0,3.3136,Screenshot_14.png,stylized
391.0554,55.4406,3.756,0.0535,0.1585,144.9597,107.0,7.5505,Screenshot_15.png,stylized
368.4885,67.4287,1.5313,0.0243,0.002,133.2843,27.0,2.7054,Screenshot_16.png,stylized
143.9222,68.3391,1.476,0.0264,0.0,135.5624,23.0,2.9608,Screenshot_17.png,stylized
846.7145,50.5215,5.6967,0.16,0.0659,194.0201,10105.0,6.333,Screenshot_18.png,stylized
205.2942,41.3161,3.7843,0.1912,0.3761,97.1878,13064.0,7.1097,Screenshot_19.png,stylized
1063.019,72.3436,7.0009,0.2046,0.1614,166.6359,12359.0,7.3147,Screenshot_2.png,stylized
257.9708,62.8749,3.844,0.1368,0.3644,98.3645,6291.0,7.0363,Screenshot_20.png,stylized
15.5151,85.0425,0.7018,0.0291,0.3888,129.313,8.0,7.2872,Screenshot_3.png,stylized
105.412,47.2215,1.5868,0.0633,0.3896,93.9115,152.0,7.5065,Screenshot_4.png,stylized
14.4668,50.1885,0.7907,0.0283,0.4778,96.5299,10.0,7.3449,Screenshot_5.png,stylized
58.9458,46.1059,0.8563,0.0303,0.106,126.864,26.0,7.2567,Screenshot_6.png,stylized
3.8756,70.4037,0.2602,0.0044,0.3581,127.1995,0.0,7.5685,Screenshot_7.png,stylized
1303.4563,53.4682,6.6058,0.1278,0.2518,120.4654,5382.0,7.2147,Screenshot_8.png,stylized
916.8487,89.9305,4.4591,0.0911,0.1958,192.5283,1075.0,5.6651,Screenshot_9.png,stylized
