filename,category,raw_blur_score,raw_contrast_score,raw_noise_score,proc_blur_score,proc_contrast_score,proc_noise_score,blur_change,contrast_change,noise_change
0 (1).jpg,manga,704.1121,45.3664,4.4492,13203.1504,81.2306,8.839,12499.04,35.86,4.39
0 (2).jpg,manga,246.524,89.5692,2.5409,7913.4611,57.1528,4.7657,7666.94,-32.42,2.22
0 (3).jpg,manga,11953.1639,83.1265,14.1986,16023.2736,91.4288,12.2482,4070.11,8.3,-1.95
0 (4).jpg,manga,7312.5501,76.9377,10.8358,9157.7485,77.7111,6.8242,1845.2,0.77,-4.01
0.jpg,manga,235.1878,49.4564,2.7247,8421.776,67.6053,5.3061,8186.59,18.15,2.58
15.jpeg,manga,11496.8141,88.1117,11.6951,11379.995,86.3397,9.8529,-116.82,-1.77,-1.84
2.jpg,manga,6595.5743,67.5008,10.7425,9546.3041,82.877,7.9697,2950.73,15.38,-2.77
5.jpg,manga,7631.4761,102.889,14.1433,14447.3665,92.8513,10.6288,6815.89,-10.04,-3.51
Screenshot_1.png,manga,1187.3646,52.6061,7.4738,19228.4491,100.4272,13.8228,18041.08,47.82,6.35
Screenshot_10.png,manga,14900.4184,80.0924,20.5329,23326.1329,109.8517,19.003,8425.71,29.76,-1.53
Screenshot_12.png,manga,5702.5134,93.163,12.4712,19883.279,101.7524,14.8923,14180.77,8.59,2.42
Screenshot_2.png,manga,5947.0913,74.3922,15.1655,22179.8869,106.8942,16.2493,16232.8,32.5,1.08
Screenshot_23.png,manga,1663.8024,61.0578,8.064,20753.3783,95.5851,13.2782,19089.58,34.53,5.21
Screenshot_3.png,manga,5987.847,67.5324,13.4467,11740.3059,95.1979,9.9063,5752.46,27.67,-3.54
Screenshot_4.png,manga,2662.7881,66.0534,8.4256,14516.6295,92.3179,11.3415,11853.84,26.26,2.92
Screenshot_5.png,manga,703.6033,52.6128,2.9625,7566.7139,62.6007,5.131,6863.11,9.99,2.17
Screenshot_6.png,manga,882.697,77.9684,3.9569,6405.4293,64.1057,4.3465,5522.73,-13.86,0.39
Screenshot_7.png,manga,897.8095,72.4422,3.3386,2067.2331,52.1028,1.7383,1169.42,-20.34,-1.6
Screenshot_8.png,manga,5161.2736,106.756,8.417,10140.2947,77.2677,7.7542,4979.02,-29.49,-0.66
handwritten_1.jpg,handwritten,114.9259,7.1336,1.5471,8456.0914,77.7604,9.3128,8341.17,70.63,7.77
image (1).jpg,handwritten,7.668,16.4062,0.359,1510.0393,25.8047,1.2002,1502.37,9.4,0.84
image (10).jpg,handwritten,322.0061,52.0308,3.1256,12113.7779,81.6986,9.9121,11791.77,29.67,6.79
image (11).jpg,handwritten,594.1782,49.1176,3.6085,18064.0314,91.0162,14.3773,17469.85,41.9,10.77
image (2).jpg,handwritten,31.1232,11.4546,0.666,3969.0825,51.5937,3.0898,3937.96,40.14,2.42
image (3).jpg,handwritten,14.6317,18.4608,0.5729,3003.8112,37.1023,2.3688,2989.18,18.64,1.8
image (4).jpg,handwritten,400.9913,42.273,3.7648,20297.0242,97.2287,16.3299,19896.03,54.96,12.57
image (5).jpg,handwritten,375.0151,50.3922,3.8354,22389.8328,101.1088,18.0455,22014.82,50.72,14.21
image (6).jpg,handwritten,204.9122,43.5295,2.4211,11863.5929,79.4455,9.546,11658.68,35.92,7.12
image (7).jpg,handwritten,359.9751,40.6903,2.2299,8781.708,68.2555,7.0268,8421.73,27.57,4.8
image (8).jpg,handwritten,86.4407,46.6161,1.4181,6063.189,58.6831,4.9405,5976.75,12.07,3.52
image (9).jpg,handwritten,828.4449,52.2524,3.6502,10383.7343,75.6576,8.2074,9555.29,23.41,4.56
image.jpg,handwritten,47.6547,22.6033,0.7499,3355.8961,45.6328,2.6293,3308.24,23.03,1.88
Screenshot_1.png,handwritten,56.5737,47.41,0.9954,3622.5106,41.075,2.9483,3565.94,-6.33,1.95
Screenshot_2.png,handwritten,1302.3597,77.0769,4.193,3859.7723,65.5448,3.8043,2557.41,-11.53,-0.39
Screenshot_3.png,handwritten,154.9229,59.2699,1.9081,6169.5905,65.0568,5.1407,6014.67,5.79,3.23
test_image.jpg,handwritten,62.2278,57.3313,1.4875,6256.9271,75.015,5.899,6194.7,17.68,4.41
Screenshot_1.png,stylized,193.6823,63.0053,2.7566,5201.8574,108.7756,3.1961,5008.18,45.77,0.44
Screenshot_10.png,stylized,615.7075,50.9723,4.6847,4774.4168,119.8367,3.7658,4158.71,68.86,-0.92
Screenshot_11.png,stylized,39.4369,62.1385,0.7158,1521.1043,95.2781,0.9108,1481.67,33.14,0.2
Screenshot_12.png,stylized,125.2488,50.1235,1.5108,1850.7874,75.8358,1.4168,1725.54,25.71,-0.09
Screenshot_13.png,stylized,374.5864,76.3402,3.2386,3619.368,107.8872,2.489,3244.78,31.55,-0.75
